,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
2342,Nova IVI Fertility ,4.0,"Bangalore,Karnataka + 20 more",Bangalore,21,Private,11,501-1k Employees (India),125000,310000,0,3,India,Asia,20.593684,78.96288
2343,Ninestars Information Technologies ,3.7,"Bangalore,Karnataka + 7 more",Bangalore,8,Private,23,501-1k Employees (India),125000,870000,18,5,India,Asia,20.593684,78.96288
2344,Cimpress ,4.5,"Dundalk,County Louth + 6 more",Dundalk,7,Private,27,1k-5k Employees (India),125000,1100,31,8,United States of America,Americas,,
2345,Thermax Babcock Wilcox Energy Solutions ,4.1,"Pune,Maharashtra + 8 more",Pune,9,Private,12,51-200 Employees (India),125000,805000,0,3,India,Asia,20.593684,78.96288
2346,Maxicus ,4.5,"Gurgaon,Haryana + 4 more",Gurgaon,5,,19,51-200 Employees (India),125000,112000,2,3,India,Asia,20.593684,78.96288
2347,ONPASSIVE  ,3.9,Orlando + 3 more,Orlando,3,,4,201-500 Employees (India),125000,444000,81,10,United States of America,Americas,,
2348,NextGen Healthcare ,3.9,"Atlanta,Georgia + 6 more",Atlanta,7,Private,48,501-1k Employees (India),125000,1100,50,3,United States of America,Americas,,
2349,JBF Industries ,4.2,"Mumbai,Maharashtra + 6 more",Mumbai,7,Public,40,201-500 Employees (India),181000,534000,0,2,India,Asia,20.593684,78.96288
2350,LEAP India ,3.6,"Coimbatore,Tamil Nadu + 15 more",Coimbatore,16,Private,9,51-200 Employees (India),124000,582000,7,9,India,Asia,20.593684,78.96288
2351,NOVO Medisciences ,3.1,Mumbai + 17 more,Mumbai,17,,76,201-500 Employees (India),124000,298000,21,5,India,Asia,20.593684,78.96288
2352,StoreKing ,3.3,"Bangalore,Karnataka + 17 more",Bangalore,18,Private,10,501-1k Employees (India),124000,590000,9,5,India,Asia,20.593684,78.96288
2353,SirionLabs ,3.9,"Bellevue,Washington",Bellevue,#VALUE!,Private,10,501-1k Employees (India),124000,898000,21,10,United States of America,Americas,,
2354,TCL ,4.2,Huizhou + 25 more,Huizhou,25,Private,41,51-200 Employees (India),124000,1100,0,7,China,Asia,35.86166,104.195397
2355,SAI Consulting Engineers ,4.4,Ahmedabad + 23 more,Ahmedabad,23,Private,39,501-1k Employees (India),124000,374000,2,3,India,Asia,20.593684,78.96288
2356,Anlage Infotech ,4.2,"Mumbai,Maharashtra + 12 more",Mumbai,13,Private,26,11-50 Employees (India),124000,348000,63,8,India,Asia,20.593684,78.96288
2357,Qualitest ,3.8,"Bridgewater,New Jersey + 6 more",Bridgewater,7,Private,25,1k-5k Employees (India),124000,2000,269,12,United States of America,Americas,,
2358,Population Services International (PSI) ,4.2,Washington D.C + 32 more,Washington,32,Private,52,5k-10k Employees (Global),124000,310000,1,1,United States of America,Americas,,
2359,Duroshox ,3.4,Pune,Pune,1,Private,35,51-200 Employees (India),124000,542000,1,5,India,Asia,20.593684,78.96288
2360,GlobalStep ,3.2,"Dallas,Texas + 2 more",Dallas,3,Private,15,51-200 Employees (India),124000,863000,21,9,United States of America,Americas,,
2361,Jaslok Hospital and Research Centre ,4.2,"Mumbai,Maharashtra + 6 more",Mumbai,7,Private,49,1k-5k Employees (India),124000,467000,2,5,India,Asia,20.593684,78.96288
2362,ICICI Direct ,4.0,Mumbai + 44 more,Mumbai,44,Private,27,201-500 Employees (India),124000,824000,0,10,India,Asia,20.593684,78.96288
2363,ILJIN AUTOMOTIVE ,3.7,Seoul + 6 more,Seoul,6,,49,,124000,549000,0,2,South Korea,Asia,35.907757,127.766922
2364,Nobel Hygiene ,3.9,"Mumbai,Maharashtra + 26 more",Mumbai,27,Private,22,51-200 Employees (India),124000,549000,3,5,India,Asia,20.593684,78.96288
2365,Polyhose ,3.8,"Chennai,Tamil Nadu + 7 more",Chennai,8,Private,26,201-500 Employees (India),124000,910000,13,4,India,Asia,20.593684,78.96288
2366,Aeries Technology ,4.2,"Mumbai,Maharashtra + 4 more",Mumbai,5,Private,10,1k-5k Employees (India),124000,938000,271,7,India,Asia,20.593684,78.96288
2367,Knack Global ,3.6,Woodbridge + 5 more,Woodbridge,5,,15,501-1k Employees (India),124000,773000,6,5,United States of America,Americas,,
2368,DAEWOO E&C ,4.7,Seoul + 9 more,Seoul,9,Public,49,5k-10k Employees (Global),124000,110000,0,2,South Korea,Asia,35.907757,127.766922
2369,Chassis Brakes International ,3.8,Amsterdam + 5 more,Amsterdam,5,Private,10,5k-10k Employees (Global),124000,294000,0,3,Netherlands,Europe,52.132633,5.291266
2370,KEM Hospital ,4.4,Mumbai + 2 more,Mumbai,2,Private,96,51-200 Employees (India),124000,475000,0,1,India,Asia,20.593684,78.96288
2371,Scaler Academy ,4.5,"Bangalore,Karnataka",Bangalore,#VALUE!,Private,3,1k-5k Employees (India),124000,439000,2,10,India,Asia,20.593684,78.96288
2372,Redcliffe Labs ,4.2,"Gurgaon,Haryana + 21 more",Gurgaon,22,Private,3,1k-5k Employees (India),124000,306000,7,6,India,Asia,20.593684,78.96288
2373,FreshMenu ,3.7,"Bangalore,Karnataka + 6 more",Bangalore,7,Private,8,201-500 Employees (India),123000,326000,2,3,India,Asia,20.593684,78.96288
2374,GM Modular ,4.1,"Mumbai,Maharashtra + 26 more",Mumbai,27,Private,22,501-1k Employees (India),123000,769000,7,4,India,Asia,20.593684,78.96288
2375,Oriental Aromatics ,3.2,"Mumbai,Maharashtra + 5 more",Mumbai,6,Public,67,501-1k Employees (India),123000,740000,1,7,India,Asia,20.593684,78.96288
2376,Marble Box ,3.9,Chicago,Chicago,1,Private,20,501-1k Employees (India),123000,321000,1,6,United States of America,Americas,,
2377,Electropneumatics & Hydraulics (I) ,4.0,"Pune,Maharashtra + 1 more",Pune,2,Private,50,501-1k Employees (India),123000,529000,13,7,India,Asia,20.593684,78.96288
2378,King George's Medical University ,4.2,Lucknow + 6 more,Lucknow,6,Private,117,501-1k Employees (India),123000,403000,2,1,India,Asia,20.593684,78.96288
2379,Acute Informatics ,3.5,Ahmedabad + 30 more,Ahmedabad,30,Private,17,201-500 Employees (India),123000,401000,3,2,India,Asia,20.593684,78.96288
2380,African Industries ,3.5,Lagos + 7 more,Lagos,7,Private,51,51-200 Employees (India),123000,410000,15,7,Nigeria,Africa,9.081999,8.675277
2381,Aspiring Minds ,3.8,"San Jose,California + 11 more",San Jose,12,Private,14,201-500 Employees (India),123000,414000,19,3,United States of America,Americas,,
2382,RenewBuy ,3.4,"Gurgaon,Haryana + 33 more",Gurgaon,34,Private,8,1k-5k Employees (India),123000,999000,35,7,India,Asia,20.593684,78.96288
2383,GfK MODE ,3.4,"Nuremberg,Bavaria + 13 more",Nuremberg,14,Private,88,51-200 Employees (India),123000,775000,5,5,Germany,Europe,51.165691,10.451526
2384,Citrix ,4.1,"Fort Lauderdale,Florida + 1 more",Fort Lauderdale,2,Private,33,1k-5k Employees (India),123000,2200,35,26,United States of America,Americas,,
2385,InnoEye Technologies ,3.2,"Indore,Madhya Pradesh",Indore,#VALUE!,Private,10,501-1k Employees (India),123000,670000,5,2,India,Asia,20.593684,78.96288
2386,NXP Semiconductors ,4.0,Eindhoven + 6 more,Eindhoven,6,Public,53,1k-5k Employees (India),123000,1300,4,16,Netherlands,Europe,52.132633,5.291266
2387,Bank Muscat ,3.7,Muscat + 51 more,Muscat,51,Private,40,51-200 Employees (India),123000,1400,1,9,Oman,Asia,21.512583,55.923255
2388,Kantar Operations ,3.5,London + 18 more,London,18,,29,5k-10k Employees (India),123000,34000,0,4,United Kingdom,Europe,55.378051,-3.435973
2389,Sir Hn Reliance Foundation Hospital ,4.3,"Mumbai,Maharashtra + 3 more",Mumbai,4,Private,97,501-1k Employees (India),123000,557000,1,4,India,Asia,20.593684,78.96288
2390,Aksentt Tech Services ,4.5,"Mumbai,Maharashtra + 2 more",Mumbai,3,Public,15,1k-5k Employees (India),123000,116000,5,1,India,Asia,20.593684,78.96288
2391,A&A Business Consulting ,4.0,"Mumbai,Maharashtra + 9 more",Mumbai,10,Private,13,201-500 Employees (India),123000,388000,0,1,India,Asia,20.593684,78.96288
2392,Advantage One Tax Consulting ,4.1,Sterling + 1 more,Sterling,1,Private,19,201-500 Employees (India),122000,316000,4,1,United States of America,Americas,,
2393,Apcer Life Sciences ,3.8,"Princeton,New Jersey + 1 more",Princeton,2,,15,51-200 Employees (India),122000,593000,2,6,United States of America,Americas,,
2394,Phenom ,3.7,"Ambler,Pennsylvania + 1 more",Ambler,2,Private,11,1k-5k Employees (India),122000,662000,93,6,United States of America,Americas,,
2395,Kesari Tours ,3.8,"Mumbai,Maharashtra + 8 more",Mumbai,9,Private,38,501-1k Employees (India),122000,689000,0,2,India,Asia,20.593684,78.96288
2396,HDFC Credila Financial Services ,4.3,"Mumbai,Maharashtra + 22 more",Mumbai,23,Private,16,501-1k Employees (India),122000,666000,6,6,India,Asia,20.593684,78.96288
2397,Bombay Hospital ,4.1,"Mumbai,Maharashtra + 4 more",Mumbai,5,Private,70,501-1k Employees (India),122000,366000,0,3,India,Asia,20.593684,78.96288
2398,Megafine Pharma ,3.6,"Mumbai,Maharashtra + 7 more",Mumbai,8,Private,27,201-500 Employees (India),122000,793000,0,3,India,Asia,20.593684,78.96288
2399,Global Healthcare Billing Partners ,3.4,"Chennai,Tamil Nadu + 2 more",Chennai,3,Private,6,1k-5k Employees (India),122000,1100,4,8,India,Asia,20.593684,78.96288
2400,Kd Logistics ,4.1,"Mumbai,Maharashtra + 22 more",Mumbai,23,,17,1k-5k Employees (India),122000,532000,1,8,India,Asia,20.593684,78.96288
2401,Bacardi ,4.2,"Hamilton,Bermuda + 34 more",Hamilton,35,Private,160,501-1k Employees (India),122000,523000,0,5,Bermuda,Americas,32.321384,-64.75737
2402,IL&FS Skills Development Corporation  ,3.9,Mumbai + 42 more,Mumbai,42,,11,11-50 Employees (India),122000,184000,0,1,India,Asia,20.593684,78.96288
2403,Daebu Automotive Seat ,3.7,"Chennai,Tamil Nadu + 3 more",Chennai,4,Private,16,201-500 Employees (Global),121000,524000,0,2,India,Asia,20.593684,78.96288
2404,Yellow Diamond ,4.3,"Indore,Madhya Pradesh + 27 more",Indore,28,Public,13,1k-5k Employees (India),121000,516000,2,1,India,Asia,20.593684,78.96288
2405,Xpo Logistics ,3.6,"Greenwich,Connecticut + 16 more",Greenwich,17,Public,11,51-200 Employees (India),121000,881000,2,2,United States of America,Americas,,
2406,Plastic Omnium ,3.7,Levallois-Perret + 8 more,Levallois-Perret,8,Private,76,201-500 Employees (India),121000,726000,2,6,France,Europe,46.227638,2.213749
2407,ITM Group of Institutions ,3.6,"Mumbai,Maharashtra + 21 more",Mumbai,22,Private,31,1k-5k Employees (India),121000,739000,3,3,India,Asia,20.593684,78.96288
2408,MITA ,3.4,Cambridge + 6 more,Cambridge,6,Private,23,51-200 Employees (India),121000,596000,0,3,Canada,Americas,56.130366,-106.346771
2409,Cholayil ,4.2,"Chennai,Tamil Nadu + 15 more",Chennai,16,Private,53,1k-5k Employees (India),121000,437000,9,0,India,Asia,20.593684,78.96288
2410,GAIN Credit ,4.7,"San Diego,California + 5 more",San Diego,6,Private,19,201-500 Employees (India),121000,448000,2,9,United States of America,Americas,,
2411,Coverfox ,3.6,"Mumbai,Maharashtra + 8 more",Mumbai,9,Private,9,201-500 Employees (India),121000,637000,12,1,India,Asia,20.593684,78.96288
2412,Chai Point ,3.9,"Bangalore,Karnataka + 13 more",Bangalore,14,Private,12,501-1k Employees (India),121000,694000,6,5,India,Asia,20.593684,78.96288
2413,KMC Constructions ,3.9,"Chennai,Tamil Nadu + 23 more",Chennai,24,Public,25,201-500 Employees (India),121000,408000,0,0,India,Asia,20.593684,78.96288
2414,Course5 ,3.7,"Bellevue,Washington + 5 more",Bellevue,6,,22,501-1k Employees (India),121000,1300,22,9,United States of America,Americas,,
2415,Unicorn Infosolutions ,3.6,"Mumbai,Maharashtra + 14 more",Mumbai,15,Private,20,201-500 Employees (India),121000,538000,0,3,India,Asia,20.593684,78.96288
2416,Normet ,4.1,"Espoo,Southern Finland + 11 more",Espoo,12,Private,60,1k-5k Employees (India),120000,623000,0,7,Finland,Europe,61.92411,25.748151
2417,Borosil Glass Works ,3.5,"Mumbai,Maharashtra + 15 more",Mumbai,16,Public,60,501-1k Employees (India),120000,769000,2,5,India,Asia,20.593684,78.96288
2418,Suhail Bahwan Automobiles ,4.1,Muscat + 6 more,Muscat,6,LLC,18,10k-50k Employees (India),120000,212000,0,1,Oman,Asia,21.512583,55.923255
2419,Grauer & Weil (i) ,3.8,"Mumbai,Maharashtra + 15 more",Mumbai,16,Public,65,501-1k Employees (India),120000,588000,2,3,India,Asia,20.593684,78.96288
2420,C3I Solutions ,4.0,Horsham,Horsham,1,Private,42,201-500 Employees (India),120000,458000,0,2,United States of America,Americas,,
2421,BDR Pharmaceuticals International ,3.9,"Mumbai,Maharashtra + 9 more",Mumbai,10,Private,20,1k-5k Employees (India),120000,751000,6,7,India,Asia,20.593684,78.96288
2422,WAKEFIT INNOVATIONS ,3.7,"Bangalore,Karnataka + 21 more",Bangalore,22,Private,8,1k-5k Employees (India),120000,763000,43,14,India,Asia,20.593684,78.96288
2423,OPERATIONAL ENERGY GROUP INDIA ,3.9,"Chennai,Tamil Nadu + 30 more",Chennai,31,Private,15,201-500 Employees (India),120000,490000,4,2,India,Asia,20.593684,78.96288
2424,BPO+ ,3.9,Doha + 36 more,Doha,36,Private,17,201-500 Employees (India),120000,1500,2,22,Qatar,Asia,25.354826,51.183884
2425,Videojet Technologies ,3.9,"Wood Dale,Illinois + 19 more",Wood Dale,20,Private,27,501-1k Employees (India),120000,518000,9,2,United States of America,Americas,,
2426,Evolent Health International ,4.4,"Arlington,Virginia + 1 more",Arlington,2,Public,11,501-1k Employees (India),120000,880000,13,13,United States of America,Americas,,
2427,Skill Lync  ,3.4,California + 7 more,California,7,,7,201-500 Employees (India),120000,944000,248,27,United States of America,Americas,,
2428,Paytm Mall ,3.6,"Delhi,NCT + 20 more",Delhi,21,,12,501-1k Employees (India),120000,1100,0,5,India,Asia,20.593684,78.96288
2429,Expedia ,4.4,"Bellevue,Washington + 6 more",Bellevue,7,Private,15,10k-50k Employees (India),127000,1600,13,29,United States of America,Americas,,
2430,MindGate Solutions ,3.5,Mumbai + 6 more,Mumbai,6,Private,14,501-1k Employees (India),119000,1300,15,10,India,Asia,20.593684,78.96288
2431,NIKE ,4.1,"Beaverton,Oregon + 30 more",Beaverton,31,Public,58,501-1k Employees (India),119000,743000,58,13,United States of America,Americas,,
2432,ABIL Group ,3.7,"Pune,Maharashtra + 1 more",Pune,2,Private,43,1k-5k Employees (India),119000,290000,1,1,India,Asia,20.593684,78.96288
2433,SOS Children's Village ,3.9,Imst + 27 more,Imst,27,Private,73,1k-5k Employees (India),119000,287000,6,3,Austria,Europe,47.516231,14.550072
2434,KPR Mill ,4.3,"Coimbatore,Tamil Nadu + 10 more",Coimbatore,11,Public,38,501-1k Employees (India),119000,515000,0,2,India,Asia,20.593684,78.96288
2435,Amphenol Fci ,4.0,Kochi + 5 more,Kochi,5,,41,501-1k Employees (India),119000,495000,2,5,India,Asia,20.593684,78.96288
2436,ICPA Health Products ,3.9,"Mumbai,Maharashtra + 21 more",Mumbai,22,Public,39,51-200 Employees (India),119000,392000,20,5,India,Asia,20.593684,78.96288
2437,Hawkins Cookers ,4.1,"Mumbai,Maharashtra + 16 more",Mumbai,17,Public,63,501-1k Employees (India),119000,446000,0,2,India,Asia,20.593684,78.96288
2438,BCG ,4.1,"Boston,Massachusetts + 7 more",Boston,8,Private,59,1k-5k Employees (India),119000,2900,32,98,United States of America,Americas,,
2439,Rittal ,4.0,Herborn + 11 more,Herborn,11,Private,27,501-1k Employees (India),119000,580000,0,2,Germany,Europe,51.165691,10.451526
2440,Lobo Staffing Solutions ,4.0,"Mumbai,Maharashtra + 27 more",Mumbai,28,Private,19,51-200 Employees (India),119000,685000,12,8,India,Asia,20.593684,78.96288
2441,Mutual Industries ,3.2,"Mumbai,Maharashtra + 7 more",Mumbai,8,Public,43,201-500 Employees (India),119000,451000,1,6,India,Asia,20.593684,78.96288
2442,Can Fin Homes ,3.8,Bangalore + 41 more,Bangalore,41,Public,35,1k-5k Employees (India),119000,618000,0,2,India,Asia,20.593684,78.96288
2443,SBI Capital Markets ,3.2,"Mumbai,Maharashtra + 40 more",Mumbai,41,Public,36,201-500 Employees (India),119000,919000,0,5,India,Asia,20.593684,78.96288
2444,Hitachi Automotive Systems ,4.0,Tokyo + 6 more,Tokyo,6,,13,5k-10k Employees (India),119000,694000,0,2,Japan,Asia,36.204824,138.252924
2445,Sv Creditline ,4.3,Gurgaon + 34 more,Gurgaon,34,Public,12,1k-5k Employees (India),119000,386000,0,1,India,Asia,20.593684,78.96288
2446,Capricorn Logistics ,3.6,"Mumbai,Maharashtra + 19 more",Mumbai,20,Private,21,1k-5k Employees (India),118000,495000,16,2,India,Asia,20.593684,78.96288
2447,Jabong ,4.3,"Gurgaon,Haryana + 6 more",Gurgaon,7,Private,11,1k-5k Employees (India),118000,254000,0,5,India,Asia,20.593684,78.96288
2448,SYSTRA ,3.9,Paris + 25 more,Paris,25,Public,65,1k-5k Employees (India),118000,572000,0,7,France,Europe,46.227638,2.213749
2449,Neosym Industry ,3.6,"Pune,Maharashtra + 7 more",Pune,8,Private,90,501-1k Employees (India),118000,437000,0,3,India,Asia,20.593684,78.96288
2450,Kazo Fashion ,3.4,"Delhi,NCT + 23 more",Delhi,24,Private,15,51-200 Employees (India),118000,385000,0,3,India,Asia,20.593684,78.96288
2451,Consul Neowatt Power Solutions ,4.2,"Chennai,Tamil Nadu + 22 more",Chennai,23,Private,41,1k-5k Employees (India),118000,265000,1,0,India,Asia,20.593684,78.96288
2452,Igarashi Motors ,4.2,"Chennai,Tamil Nadu + 3 more",Chennai,4,Public,30,501-1k Employees (India),118000,770000,0,3,India,Asia,20.593684,78.96288
2453,MJ Biopharm ,3.9,"Mumbai,Maharashtra + 7 more",Mumbai,8,Private,35,201-500 Employees (India),118000,571000,5,5,India,Asia,20.593684,78.96288
2454,Jade Global ,4.4,San Jose + 3 more,San,3,Private,19,1k-5k Employees (India),118000,1500,121,7,Mali,Africa,17.570692,-3.996166
2455,OmniActive Health Technologies ,4.1,"Mumbai,Maharashtra + 8 more",Mumbai,9,Public,18,201-500 Employees (India),118000,698000,0,8,India,Asia,20.593684,78.96288
2456,Kiran Foreign Trade ,3.4,Mohali,Mohali,1,Private,15,501-1k Employees (India),118000,613000,1,8,India,Asia,20.593684,78.96288
2457,G.M.Pens International ,4.2,"Chennai,Tamil Nadu + 27 more",Chennai,28,Private,27,501-1k Employees (India),118000,400000,0,3,India,Asia,20.593684,78.96288
2458,Vini Cosmetics ,4.3,"Ahmedabad,Gujarat + 33 more",Ahmedabad,34,Private,13,201-500 Employees (India),118000,409000,0,3,India,Asia,20.593684,78.96288
2459,Eaton Fluid Power ,4.3,"Dublin,Dublin + 5 more",Dublin,6,Private,111,1k-5k Employees (India),117000,416000,0,2,Ireland,Europe,53.41291,-8.24389
2460,Birla white ,4.1,Mumbai + 40 more,Mumbai,40,Private,34,1-10 Employees (India),117000,358000,0,0,India,Asia,20.593684,78.96288
2461,cFIRST ,4.0,Cincinnati + 5 more,Cincinnati,5,Private,16,201-500 Employees (India),117000,372000,5,2,United States of America,Americas,,
2462,Writer Business Services ,3.8,Mumbai + 37 more,Mumbai,37,Private,69,10k-50k Employees (India),117000,695000,7,4,India,Asia,20.593684,78.96288
2463,Keller Ground Engineering ,4.3,London + 12 more,London,12,Private,162,501-1k Employees (India),117000,467000,1,5,United Kingdom,Europe,55.378051,-3.435973
2464,Olive Bar & Kitchen ,4.3,Mumbai + 13 more,Mumbai,13,Private,22,201-500 Employees (India),117000,369000,0,2,India,Asia,20.593684,78.96288
2465,Tata Institute of Social Sciences ,3.9,"Mumbai,Maharashtra + 27 more",Mumbai,28,Private,86,201-500 Employees (India),117000,477000,0,3,India,Asia,20.593684,78.96288
2466,Gates ,3.8,"Denver,Colorado + 9 more",Denver,10,Private,27,1k-5k Employees (India),117000,560000,0,0,United States of America,Americas,,
2467,Bharat Benz ,4.5,"Chennai,Tamil Nadu + 50 more",Chennai,51,Private,11,1k-5k Employees (India),117000,384000,0,3,India,Asia,20.593684,78.96288
2468,PACL India ,4.5,"New Delhi,Delhi + 43 more",New Delhi,44,Private,26,1k-5k Employees (Global),117000,215000,0,0,India,Asia,20.593684,78.96288
2469,Elsamex Maintenance Services ,4.1,Ahmedabad + 27 more,Ahmedabad,27,Private,23,201-500 Employees (India),117000,448000,0,2,India,Asia,20.593684,78.96288
2470,OneClick IT Consultancy ,4.7,"Ahmedabad,Gujarat",Ahmedabad,#VALUE!,Private,10,51-200 Employees (India),117000,38000,1,0,India,Asia,20.593684,78.96288
2471,Apisero ,4.4,Chandler + 7 more,Chandler,7,,6,1k-5k Employees (India),117000,1700,44,44,United States of America,Americas,,
2472,SMC ,4.0,"Noblesville,Indiana + 26 more",Noblesville,27,Private,34,201-500 Employees (India),307000,881000,17,4,United States of America,Americas,,
2473,VISION ,3.9,Warren + 54 more,Warren,54,Private,29,11-50 Employees (India),116000,605000,2,2,United States of America,Americas,,
2474,ITCube Solutions ,3.6,"Pune,Maharashtra + 3 more",Pune,4,Private,19,201-500 Employees (India),116000,713000,16,3,India,Asia,20.593684,78.96288
2475,Eternis Fine Chemicals ,3.8,"Mumbai,Maharashtra + 5 more",Mumbai,6,Public,34,201-500 Employees (India),116000,682000,0,6,India,Asia,20.593684,78.96288
2476,Hyundai Engineering ,4.2,Seoul + 17 more,Seoul,17,Private,48,51-200 Employees (India),116000,380000,0,6,South Korea,Asia,35.907757,127.766922
2477,Arkray Healthcare ,4.0,"Mumbai,Maharashtra + 18 more",Mumbai,19,Private,62,201-500 Employees (India),116000,585000,15,2,India,Asia,20.593684,78.96288
2478,Vesuvius ,4.1,London + 10 more,London,10,Public,31,501-1k Employees (India),116000,504000,0,3,United Kingdom,Europe,55.378051,-3.435973
2479,DISYS ,3.6,"McLean,Virginia + 7 more",McLean,8,Private,28,51-200 Employees (India),116000,1000,15,7,United States of America,Americas,,
2480,John Energy ,3.8,Ahmedabad + 8 more,Ahmedabad,8,Private,35,1k-5k Employees (India),116000,525000,0,6,India,Asia,20.593684,78.96288
2481,Franco-Indian Pharmaceuticals ,3.8,Mumbai + 18 more,Mumbai,18,Private,73,201-500 Employees (India),116000,409000,0,4,India,Asia,20.593684,78.96288
2482,Pie Infocomm ,4.4,"Lucknow,Uttar Pradesh + 1 more",Lucknow,2,Private,20,1-10 Employees (India),116000,74000,4,4,India,Asia,20.593684,78.96288
2483,Roulunds Braking ,3.6,Odense + 2 more,Odense,2,Private,286,1k-5k Employees (Global),116000,517000,0,5,Denmark,Europe,56.26392,9.501785
2484,Navneet Education ,4.1,"Mumbai,Maharashtra + 23 more",Mumbai,24,Public,63,501-1k Employees (India),116000,571000,4,5,India,Asia,20.593684,78.96288
2485,National Securities Depository ,3.5,"Mumbai,Maharashtra + 4 more",Mumbai,5,Private,26,201-500 Employees (India),116000,1000,6,2,India,Asia,20.593684,78.96288
2486,Malladi Drugs & Pharmaceuticals ,4.2,"Chennai,Tamil Nadu + 8 more",Chennai,9,Private,42,201-500 Employees (India),116000,763000,0,8,India,Asia,20.593684,78.96288
2487,Aneja Associates ,3.1,"Mumbai,Maharashtra + 6 more",Mumbai,7,Private,41,11-50 Employees (India),116000,609000,18,3,India,Asia,20.593684,78.96288
2488,Cleartrip ,4.0,"Mumbai,Maharashtra + 8 more",Mumbai,9,Private,17,501-1k Employees (India),116000,711000,9,2,India,Asia,20.593684,78.96288
2489,Ascendum KPS ,4.2,"Blue Ash,Ohio + 3 more",Blue Ash,4,Private,21,1k-5k Employees (India),116000,500000,2,5,United States of America,Americas,,
2490,Great Learning ,3.9,"Gurgaon,Haryana + 6 more",Gurgaon,7,,9,501-1k Employees (India),116000,1300,91,12,India,Asia,20.593684,78.96288
2491,Dorset Industries ,3.8,Gurgaon + 21 more,Gurgaon,21,,27,201-500 Employees (India),116000,600000,5,2,India,Asia,20.593684,78.96288
2492,Elite Elevators ,4.6,"Chennai,Tamil Nadu + 9 more",Chennai,10,Private,19,51-200 Employees (India),116000,214000,5,3,India,Asia,20.593684,78.96288
2493,Propertypistol Realty ,3.1,"Mumbai,Maharashtra + 13 more",Mumbai,14,Private,10,501-1k Employees (India),116000,944000,3,17,India,Asia,20.593684,78.96288
2494,Quest Diagnostics ,4.0,"Secaucus,New Jersey + 10 more",Secaucus,11,Private,55,501-1k Employees (India),137000,580000,46,2,United States of America,Americas,,
2495,ABC Bearings ,4.0,Mumbai + 19 more,Mumbai,19,Public,61,201-500 Employees (India),115000,1900,0,11,India,Asia,20.593684,78.96288
2496,Appasamy Associates ,3.6,"Chennai,Tamil Nadu + 17 more",Chennai,18,Private,44,51-200 Employees (India),115000,553000,0,1,India,Asia,20.593684,78.96288
2497,DDB Mudra Group ,3.8,"Mumbai,Maharashtra + 23 more",Mumbai,24,Private,42,1k-5k Employees (India),115000,587000,5,3,India,Asia,20.593684,78.96288
2498,Federal Mogul Powertrain ,3.9,Lake Forest + 12 more,Lake,12,,123,1k-5k Employees (India),115000,505000,0,4,United States of America,Americas,,
2499,QDVC ,4.9,Doha + 3 more,Doha,3,Private,15,51-200 Employees (India),115000,78000,0,2,Qatar,Asia,25.354826,51.183884
2500,Orchid Pharma ,4.0,Chennai + 5 more,Chennai,5,Public,30,1k-5k Employees (India),115000,504000,0,2,India,Asia,20.593684,78.96288
2501,Army Ordnance Corps ,4.8,"New Delhi,Delhi + 39 more",New Delhi,40,Public,247,1 Lakh+ Employees (India),115000,334000,0,2,India,Asia,20.593684,78.96288
2502,MeritTrac ,4.0,"Bangalore,Karnataka + 10 more",Bangalore,11,Private,22,201-500 Employees (India),115000,419000,5,0,India,Asia,20.593684,78.96288
2503,Rotostat Services ,4.3,"Mumbai,Maharashtra + 13 more",Mumbai,14,Private,13,51-200 Employees (India),115000,504000,0,6,India,Asia,20.593684,78.96288
2504,Livguard ,4.2,"Gurgaon,Haryana + 13 more",Gurgaon,14,Private,8,501-1k Employees (India),115000,507000,0,1,India,Asia,20.593684,78.96288
2505,Crossword Bookstores ,4.1,"Mumbai,Maharashtra + 20 more",Mumbai,21,Private,30,201-500 Employees (India),115000,314000,2,1,India,Asia,20.593684,78.96288
2506,Commonwealth Bank of Australia ,4.1,Sydney + 3 more,Sydney,3,Private,111,1k-5k Employees (India),115000,1500,1,20,Australia,Oceania,-25.274398,133.775136
2507,Franklin Templeton International Services ,4.3,"Mumbai,Maharashtra + 5 more",Mumbai,6,Private,27,201-500 Employees (India),115000,787000,0,5,India,Asia,20.593684,78.96288
2508,Vinati Organics ,4.0,"Mumbai,Maharashtra + 7 more",Mumbai,8,Public,33,501-1k Employees (India),115000,817000,0,6,India,Asia,20.593684,78.96288
2509,Siegwerk ,4.2,"Siegburg,NRW + 13 more",Siegburg,14,Private,192,501-1k Employees (India),115000,537000,11,5,Germany,Europe,51.165691,10.451526
2510,L&T IDPL ,4.4,Chennai + 22 more,Chennai,22,Private,27,201-500 Employees (India),115000,454000,0,1,India,Asia,20.593684,78.96288
2511,Saxo Bank ,3.6,"Copenhagen,Capital Region",Copenhagen,#VALUE!,Private,30,501-1k Employees (India),115000,980000,0,7,Denmark,Europe,56.26392,9.501785
2512,Daffodil Software ,3.9,"Grandville,MI + 4 more",Grandville,5,Private,23,501-1k Employees (India),115000,1000,80,8,United States of America,Americas,,
2513,Mindlance ,4.2,"Union,New Jersey + 5 more",Union,6,Private,23,1k-5k Employees (Global),115000,737000,11,4,United States of America,Americas,,
